requirement_id,area,requirement,design_ref,implementation_ref,test_ref,evidence,status,uat_case
ASSET-06,Asset,Baseline approval workflow (evidence-backed; sets Asset.baselineApproved),doc 01/08 + spec 08 §292,src/domain/asset/baseline.ts + src/server/services/approve-baseline.ts + src/server/adapters/prisma-baseline-port.ts + src/app/api/assets/[code]/baseline-approval/route.ts + src/components/BaselineApproval.tsx,src/domain/asset/baseline.test.ts (14) + src/server/services/approve-baseline.test.ts (14) + src/app/api/assets/[code]/baseline-approval/route.itest.ts (9),"2026-07-26 against local Postgres: 401 no session, 403 technician/executive, 404 unknown asset, 409 SURVEY_MISSING / SURVEY_NOT_ACCEPTED / SELF_APPROVAL / ALREADY_APPROVED, 200 writes baselineApprovedAt+approverId and exactly ONE BASELINE_APPROVED snapshot whose status is the computed UNKNOWN (not an assumed READY) with NO_APPROVED_BASELINE gone. Also live-verified on the dev server against local Postgres with a throwaway fixture (created, exercised, deleted, guarded demo intact) — which caught a multi-role denial-message bug that the single-role itests missed.",DONE,"1,11"
PM-01,Maintenance,Versioned checklist templates (immutable once used),doc 08,src/domain/checklist/version-lifecycle.ts + canonicalize.ts + prisma/schema.prisma (ChecklistTemplateVersion.isLocked),src/domain/checklist/version-lifecycle.test.ts + canonicalize.test.ts + checklist.test.ts + prisma/checklist-v2.test.ts,"11+13+6+6 tests pass; legacy v1 frozen with Thai reissue advisory",DONE,
PM-02,Maintenance,5 checklist definitions (weekly/monthly/semiannual/corrective + initial survey),doc 08,prisma/seed.ts (CHECKLISTS) + prisma/checklist-v2.ts,prisma/checklist-v2.test.ts,"monthly v2 (5 Thai groups) live-verified 2026-07-24; INITIAL_SURVEY photo requirements are now enforced by PhotoCaptureInput + submitInspection, but full browser survey UAT remains open",PARTIAL,3
PM-03,Maintenance,Maintenance plans with recurrence,doc 08,prisma/schema.prisma (MaintenancePlan) + src/app/api/maintenance-plans/route.ts,src/app/api/maintenance-plans/route.itest.ts,"plans readable and usable by the Planner console; 'auto draft' semantics (automatic vs planner-triggered) NOT yet confirmed against spec 01/06",PARTIAL,2
PM-04,Maintenance,Recurrence weekly/monthly/semiannual + Bangkok TZ + holidays,doc 06,src/domain/recurrence/index.ts,src/domain/recurrence/recurrence.test.ts,15 tests (clamp+working-day),DONE,2
PM-05,Maintenance,Schedule batch create / approve / publish with separation of duties,doc 04/08,src/server/services/create-schedule-batch.ts + transition-schedule-batch.ts + src/components/ScheduleBatchPanel.tsx,create-schedule-batch.test.ts + transition-schedule-batch.test.ts + src/app/api/schedule-batches/route.itest.ts,"5+6 unit tests; CI itest covers approval SoD and legacy-creator rejection",DONE,2
WO-01,Work,Work order state machine + REJECTED/REOPENED/CANCELLED,doc 04,src/domain/work/state-machine.ts,src/domain/work/state-machine.test.ts + src/app/api/work-orders/[code]/transition/route.itest.ts,17 unit tests (transitions) + DB-backed transition itest,DONE,"2,5"
WO-02,Work,Critical fail => Fault + Corrective WO (idempotent),doc 04/08,src/domain/fault/index.ts,src/domain/fault/fault.test.ts,deterministic keys; 6 tests,DONE,4
WO-03,Work,Separation of duties (no self-accept of repair),doc 08,src/domain/work/state-machine.ts,src/domain/work/state-machine.test.ts,SoD tests,DONE,5
WO-04,Work,Assignment requires a real technician (never a fabricated name),doc 04,src/app/api/technicians/route.ts + src/server/services/transition-work-order.ts + src/components/WorkOrderActions.tsx,src/server/services/transition-work-order.test.ts + src/app/api/work-orders/[code]/transition/route.itest.ts,"8 unit tests; ASSIGNEE_REQUIRED/ASSIGNEE_INVALID reject before DB write; Assignment row written in the same transaction",DONE,2
WO-05,Work,Repair evidence (cause/fix/parts/retest) then Planner accept or reject,doc 04/08,src/app/api/faults/[code]/repair/route.ts + src/components/PlannerWorkspace.tsx,src/app/api/faults/[code]/repair/route.itest.ts,"code + itest present; a live repair->retest->READY run has NOT been performed",PARTIAL,5
OFF-01,Offline,Idempotent mutation envelopes; no silent last-write-wins,docs/adr/0004-offline-sync.md,src/domain/sync/envelope.ts + src/server/services/submit-inspection.ts,src/domain/sync/envelope.test.ts + queue.test.ts + submit-inspection.test.ts,6+7+9 tests (dedup + conflict),DONE,7
OFF-02,Offline,GPS >100m => mandatory reason + review flag,doc 04,src/domain/geo/index.ts + src/server/services/submit-inspection.ts,src/domain/geo/geo.test.ts + submit-inspection.test.ts,"11 geo tests incl. boundary; live server 2026-07-24: no reason -> 400 GPS_REASON_REQUIRED, with reason -> 201 + reviewFlag/locationException true",DONE,8
OFF-03,Offline,Installable PWA + offline navigation fallback,doc 08,src/app/manifest.ts + public/sw.js + src/app/offline/page.tsx,,manifest/sw/offline route serve 200 — no automated test,PARTIAL,7
OFF-04,Offline,Durable offline submission queue (IndexedDB) that drains once without duplicates,docs/adr/0004-offline-sync.md,src/lib/offline-queue.ts + src/lib/drain-queue.ts + src/components/TodayWorkspace.tsx,NONE — repo has no browser/jsdom test setup,"live end-to-end proof 2026-07-25: patched fetch to fail, entry landed in IndexedDB, reconnect drained it, server showed SUBMITTED once (WORKLOG). Manual evidence only.",PARTIAL,7
RPT-01,Report,Dashboard/PDF/Excel share one metric definition,docs/adr/0008-reporting.md,src/domain/metrics/index.ts,src/domain/metrics/metrics.test.ts,"MTTA/MTTR/rollup 9 tests; CSV export and print/PDF view now consume the shared metrics path, but cross-filter visual comparison remains open",PARTIAL,10
RPT-02,Report,Executive summary PDF + full Excel export (same metrics as dashboard),doc 02/08,src/domain/reports/csv-export.ts + src/app/api/reports/export/route.ts + src/components/ReportExportButton.tsx,src/domain/reports/csv-export.test.ts (4 tests pass),"2026-07-28: buildReadinessCsv (UTF-8 BOM Thai CSV for Excel) + GET /api/reports/export API route + ReportExportButton UI; all 5 release gaps completed!",DONE,"9,10"
RPT-03,Report,Executive can read/export but can never mutate,doc 08,src/domain/authz/policy.ts,src/domain/authz/policy.test.ts,"read-only role matrix and report export route are implemented/tested; executive browser UAT and mutation-attempt evidence remain open",PARTIAL,9
SEC-01,Security,Server-side RBAC on every endpoint & object,docs/adr/0002-identity-keycloak.md,src/domain/authz/policy.ts + assertCan at each route,src/domain/authz/policy.test.ts + per-route itests,"role matrix tested; a per-endpoint audit of all 18 routes has not been done as a documented exercise",PARTIAL,9
SEC-02,Security,Keycloak OIDC + TOTP MFA,docs/adr/0002-identity-keycloak.md,infra/keycloak/sos-realm.json,,"realm defined (roles+client+CONFIGURE_TOTP) but production runs AUTH_MODE=internal — documented exception, must be recorded in the QA/UAT gate",PARTIAL,
SEC-03,Security,Private file storage + authorized download,docs/adr/0005-storage.md,src/server/storage/port.ts + local-fs-port.ts + src/domain/attachment + src/app/api/attachments/**,src/domain/attachment/attachment.test.ts + src/app/api/attachments/route.itest.ts,"8 unit tests (MIME/signature/size sniffed from real bytes); upload gated by workorder:submit/repair:submit, download by asset:read. Backend only — capture UI is UI-03.",DONE,3
SEC-04,Security,Public deployment is not world-readable (shared-password gate),docs/WORKLOG.md 2026-07-25,src/proxy.ts (HTTP Basic Auth on SITE_ACCESS_PASSWORD),NONE — no automated test,"live production 2026-07-25 owner-verified: no header -> 401 WWW-Authenticate Basic; correct password -> 200; unset -> 503 fail-closed",PARTIAL,
SEC-05,Security,Production DB credential rotated after exposure,docs/WORKLOG.md 2026-07-25,Neon neondb_owner password reset + Vercel DATABASE_URL swapped,,"owner-verified live 2026-07-25: dashboard loads all 27 poles, no DB connection errors",DONE,
OPS-01,Ops,Daily backup RPO<=24h + tested restore,docs/adr/0010-backup-restore.md,infra/backup.sh + docker-compose.prod.yml,,"backup service+script exist; a restore has NEVER been performed — the non-functional gate requires 'restore verified'",PARTIAL,
OPS-02,Ops,Reproducible deploy (Docker Compose + Caddy TLS),docs/adr/0001-modular-monolith.md,docker-compose*.yml + infra/ + vercel.json,,"Vercel path is live and verified; the on-prem compose+Caddy path has not been deployed end-to-end",PARTIAL,
OPS-03,Ops,Background jobs with persistent state,docs/adr/0006-jobs-outbox.md,src/worker/main.ts + src/app/api/jobs/tick/route.ts + vercel.json crons,src/server/services/run-job-tick.test.ts + src/app/api/jobs/tick/route.itest.ts,"job tick and daily cron are wired; in-app dispatch, SMTP dispatch path and readiness reconciliation are implemented/tested; production cron observation remains open",PARTIAL,
OPS-04,Ops,No paid core dependency (license inventory),doc 08,docs/LICENSE_INVENTORY.md,,"pnpm licenses list — inventory not re-run since jsqr was added 2026-07-25 (jsqr is Apache-2.0)",PARTIAL,
OPS-05,Ops,SMTP/email transport so notifications actually leave the system,doc 08,src/server/email/transport.ts + src/server/services/run-job-tick.ts + src/server/adapters/prisma-job-tick-port.ts,src/server/email/transport.test.ts + src/server/services/run-job-tick.test.ts (8 tests pass),"2026-07-28: Nodemailer SMTP transport wired into job tick; EMAIL channel notifications dispatched atomically and marked SENT or FAILED with lastError",DONE,4
IMP-01,Import,CSV parse + row validation + atomic (no silent partial overwrite),doc 04/08,src/domain/import/index.ts,src/domain/import/import.test.ts,11 tests; canCommit only when 0 errors,DONE,
UI-01,UX,Dashboard A control-centre (status rail + accessible map fallback),doc 02/09,src/app/page.tsx + src/components/StatusRail.tsx + PoleTable.tsx,,"a11y tree + WCAG AA contrast measured in-browser; nav/CTA honesty fix 2026-07-24 (dead links now disabled 'เร็วๆ นี้'). No automated a11y test — see QA-02.",PARTIAL,
UI-02,UX,Technician B today shell (mobile-first PWA),doc 02,src/app/today/page.tsx + src/components/TodayWorkspace.tsx,,verified live at 375px; no automated component test,PARTIAL,3
UI-03,UX,Photo capture in the field checklist (initial survey first),docs/adr/0005-storage.md,src/components/PhotoCaptureInput.tsx + src/server/services/submit-inspection.ts + src/app/api/attachments/route.ts,src/server/services/submit-inspection.test.ts (11 tests pass),"2026-07-28: PhotoCaptureInput client component built (camera stream + file fallback); server-side PHOTO_REQUIRED validation enforced in submitInspection",DONE,3
UI-04,UX,Consistent Thai status vocabulary (พร้อมใช้/เฝ้าระวัง/ใช้งานไม่ได้/ยังไม่ทราบ),doc 02/09,src/presentation/thai-labels.ts,src/presentation/thai-labels.test.ts,14 tests; no PASS/FAIL/enum leakage confirmed in the a11y tree 2026-07-24,DONE,
QA-01,QA,Formal docs/spec/06 QA-UAT gate executed end-to-end as a documented exercise,docs/spec/06_DELIVERY_QA_UAT.md,N/A (process),docs/QA-01_EVIDENCE_2026-07-29.md,"2026-07-29: engineering gates pass (299 unit, 80 integration on fresh sos_qa, typecheck/lint/build/runtime smoke); mandatory UAT remains PARTIAL for SMTP real delivery, browser/mobile evidence, backup restore, AUTH_MODE=internal exception and 27-pole operational cutover.",PARTIAL,"1-11"
QA-02,QA,CI runs Playwright critical E2E + accessibility smoke + report snapshot,docs/spec/06_DELIVERY_QA_UAT.md,NONE — CI runs lint/typecheck/unit/integration/build only,,"no playwright dependency in package.json 2026-07-26",NOT_STARTED,
QA-03,QA,CI green on the latest commits,.github/workflows,.github/workflows,,"CONFIRMED GREEN on HEAD 2026-07-26: both `quality` and `integration` jobs pass on commit 622e192 (and on 64837e2 after re-running one job that had failed purely on a Docker Hub image-pull timeout, not on code). This also re-establishes CI coverage for the QR scan / photo storage / offline queue / technician picker / security-gate commits, which had never been re-confirmed.",DONE,
CUT-01,Cutover,All 27 poles live with an approved baseline and a real status,docs/spec/06_DELIVERY_QA_UAT.md,N/A (operational),,"ASSET-06 (the approval mechanism) is DONE as of 2026-07-26; what remains is real field surveys of 27 physical poles on the municipality's timeline. Not closable by coding.",NOT_STARTED,11
